artist_id,genres
0hnmRa5ahunapQbPjKUbMK,"['contemporary r&b', 'hip pop', 'r&b']"
0huGjMyP507tBCARyzSkrv,"['hip hop', 'pop rap', 'rap', 'trap', 'underground hip hop']"
0hweXBppoySy22Pnn6FZ7s,[]
0iEtIxbK0KxaSlF7G42ZOp,['rap']
0iVrCROxeyon7MZUW3MfzT,"['contemporary r&b', 'hip pop', 'new jack swing', 'r&b', 'urban contemporary']"
0iYwcf0XreyCAswJOJMOII,['country road']
0id62QV2SZZfvBn9xpmuCl,"['pop soul', 'r&b']"
0ihJnGEjNnbM6uuTn3RHMo,['australian pop']
0j8QSBQZ9MNSGjHr1Vll1R,"['latin arena pop', 'latin pop', 'spanish pop rock']"
0jJNGWrpjGIHUdTTJiIYeB,"['pop rock', 'post-grunge']"
0jPHHnU8GUWEF7rwPE9osY,['irish hip hop']
0jPnVIasXzBYjrlpO5irii,"['contemporary country', 'country pop']"
0jW6R8CVyVohuUJVcuweDI,['bow pop']
0jnsk9HBra6NMjO2oANoPY,"['dance pop', 'miami hip hop', 'pop', 'pop rap']"
0k7Xl1pqI3tu8sSEjo5oEg,"['chopped and screwed', 'crunk', 'dirty south rap', 'houston rap']"
0kEcxP5ezzvP5RcO51TCBD,['bronx hip hop']
0kJMPTXq7h3ztpDukSx5iD,['new jersey rap']
0kkxsdcaWmWU2yWAqclDh4,"['post-teen pop', 'talent show', 'teen pop', 'viral pop']"
0kuEP1E9k3WBEwMKwEmp9u,['idol']
0lAWpj5szCSwM4rUMHYmrr,"['indie rock italiano', 'italian pop']"
0lEssBAxQl2In4RpaB1C2Y,"['conscious hip hop', 'east coast hip hop']"
0lJlKQvuM2Sd9DPPyUXcHg,"['lilith', 'pop rock']"
0lZoBs4Pzo7R89JM9lxwoT,"['album rock', 'dance rock', 'new romantic', 'new wave', 'new wave pop', 'rock', 'soft rock', 'synthpop']"
0lax1ZgWclW6mZFaGu27MM,['kids dance party']
0le01dl1WllSHhjEXRl4in,"['canadian pop', 'contemporary r&b', 'hip pop', 'r&b', 'urban contemporary']"
0lmKvjsV6xcpES9x96iqpf,"['arkansas country', 'deep talent show']"
0m2Wc2gfNUWaAuBK7URPIJ,[]
0mA4dkNGiN4fqTBi2SLlAv,"['corrido', 'corridos tumbados', 'sad sierreno', 'sierreno']"
0mXTJETA4XUa12MmmXxZJh,"['acoustic rock', 'grunge', 'permanent wave']"
0mbgkaYR8KNUb5s3s1yYHG,"['battle rap', 'dirty south rap']"
0miRKHMzKK1xStb6AjWo7k,['deep talent show']
0mzTssRDPIQVH5wSNzOdFZ,"['canadian pop', 'candy pop']"
0n4Fao9kbjgM76RmVlfSwr,[]
0n6sKrG0xKAf8xmdqeNGke,[]
0nIyPY7J7G68WgQEOLHn0x,['hollywood']
0napPQNzPhwVmVM6AMNfAx,[]
0niJkG4tKkne3zwr7I8n9n,"['alternative metal', 'canadian rock', 'funk metal', 'nu metal', 'post-grunge']"
0nmQIMXWTXfhgOBdNzhGOs,['alternative metal']
0nvvVQhPQGkYTJlThLbJeu,['atl hip hop']
0o4U0XniVaa8UFVikUfANZ,[]
0o9FGMZT1bOTSGYFb7BoWz,[]
0oBEeN6BCxEgMogzThqrPf,"['contemporary country', 'country', 'country road']"
0oBrZOrMAGxxHikhpWTY1A,[]
0oK8UXKZbQezeRhE0KeBAV,"[""man's orchestra""]"
0oSGxfWSnnOXhD2fKuz2Gy,"['art rock', 'classic rock', 'glam rock', 'permanent wave', 'rock']"
0omFWrLn7oQeN8BuSOcP1P,[]
0p3tzEAt0XWrBqbrwBoN1I,['singer-songwriter pop']
0p4nmQO2msCgU4IF37Wi3j,"['canadian pop', 'candy pop', 'dance pop', 'pop']"
0pePYDrJGk8gqMRbXrLJC8,"['corrido', 'sad sierreno', 'sierreno']"
0pper2FC30u4IeOmeH1sLa,[]
0q2lY1ZzFckzciuoMtUvck,"['contemporary country', 'country road', 'modern country rock']"
0q8J3Yj810t5cpAYEJ7gxt,['disco house']
0qPUDOVD0aYR2lmCilnscs,"['lovers rock', 'old school dancehall', 'reggae', 'reggae fusion', 'roots reggae']"
0qSX3s5pJnAlSsgsCne8Cz,"['contemporary country', 'country', 'country road', 'modern country rock']"
